Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-04-03,"Errored, No Charge",composer-2,No,0,0,0,0,0,-
2026-04-03,Included,composer-2-fast,No,0,0,0,0,0,Included
2026-04-03,Included,composer-2-fast,No,0,640,40960,410,42010,Included
2026-04-03,Included,composer-2-fast,No,0,12623,147328,1252,161203,Included
2026-04-03,Included,composer-2-fast,No,0,126925,62144,6156,195225,Included
2026-04-03,Included,composer-2-fast,No,0,46394,63776,2623,112793,Included
2026-04-02,Included,composer-2-fast,No,0,25206,185152,7265,217623,Included
2026-04-02,Included,composer-2-fast,No,0,98879,113504,9170,221553,Included
2026-04-02,Included,composer-2-fast,No,0,57255,725536,9626,792417,Included
2026-04-02,Included,composer-2-fast,No,0,91555,125216,8743,225514,Included
2026-04-02,Included,composer-2-fast,No,0,55765,495296,3852,554913,Included
2026-04-02,Included,composer-2-fast,No,0,68413,313312,17858,399583,Included
2026-04-02,Included,composer-2-fast,No,0,1630,36576,655,38861,Included
2026-04-02,Included,composer-2-fast,No,0,117831,326272,12006,456109,Included
2026-04-02,Included,composer-2-fast,No,0,45743,149280,4371,199394,Included
2026-04-02,Included,composer-2-fast,No,0,72802,467744,3962,544508,Included
2026-04-02,Included,composer-2-fast,No,0,43155,33440,1861,78456,Included
2026-04-02,Included,composer-2-fast,No,0,42508,272352,18800,333660,Included
2026-04-02,Included,composer-2-fast,No,0,89715,57152,3626,150493,Included
2026-04-02,Included,composer-2-fast,No,0,57088,324800,15942,397830,Included
2026-04-02,Included,composer-2-fast,No,0,53285,83808,1259,138352,Included
2026-04-02,Included,composer-2-fast,No,0,92045,180224,3499,275768,Included
2026-04-02,Included,composer-2-fast,No,0,17007,64064,1106,82177,Included
2026-04-02,Included,composer-2-fast,No,0,14473,908064,3552,926089,Included
2026-04-02,Included,composer-2-fast,No,0,1346,1238432,1996,1241774,Included
2026-04-02,Included,composer-2-fast,No,0,2195,1594112,1602,1597909,Included
2026-04-02,Included,composer-2-fast,No,0,3580,2415392,1453,2420425,Included
2026-04-02,Included,composer-2-fast,No,0,8026,2958208,12069,2978303,Included
2026-04-02,Included,composer-2-fast,No,0,1587,745920,3421,750928,Included
2026-04-02,Included,composer-2-fast,No,0,5414,995104,3358,1003876,Included
2026-04-02,Included,composer-2-fast,No,0,112,137888,449,138449,Included
2026-04-02,Included,composer-2-fast,No,0,122391,813376,11473,947240,Included
2026-04-02,Included,composer-2-fast,No,0,38849,117184,3096,159129,Included
2026-04-02,Included,composer-2-fast,No,0,22996,121536,2913,147445,Included
2026-04-02,Included,composer-2-fast,No,0,1550,152736,693,154979,Included
2026-04-02,Included,composer-2-fast,No,0,20171,89440,2847,112458,Included
2026-04-02,Included,composer-2-fast,No,0,21686,424064,5375,451125,Included
2026-04-02,Included,composer-2-fast,No,0,34406,112992,9753,157151,Included
2026-04-02,Included,composer-2-fast,No,0,126580,1469760,9305,1605645,Included
2026-04-02,Included,composer-2-fast,No,0,56535,149088,8014,213637,Included
2026-04-02,Included,composer-2-fast,No,0,135552,997312,7177,1140041,Included
2026-04-02,Included,composer-2-fast,No,0,155113,2511936,23938,2690987,Included
2026-04-02,Included,composer-2,No,0,112979,6656,259,119894,Included
2026-04-02,On-Demand,gemini-3.1-pro-preview,No,0,222457,152531,44189,419177,1.01
2026-04-02,On-Demand,gemini-3.1-pro-preview,No,0,64677,7723,276,72676,0.13
2026-04-02,Included,composer-2-fast,No,0,49028,987008,23390,1059426,Included
2026-04-02,Included,composer-2-fast,No,0,28902,95456,766,125124,Included
2026-04-01,Included,composer-2-fast,No,0,24707,6944,311,31962,Included
2026-04-01,Included,composer-2-fast,No,0,619,29920,550,31089,Included
2026-04-01,Included,composer-2-fast,No,0,62450,126400,3609,192459,Included
2026-04-01,Included,composer-2-fast,No,0,51207,502624,8837,562668,Included
2026-04-01,Included,composer-2-fast,No,0,108439,150496,5847,264782,Included
2026-04-01,Included,composer-2-fast,No,0,37500,64320,2719,104539,Included
2026-04-01,"Errored, No Charge",composer-2-fast,No,0,0,0,0,0,-
2026-04-01,Included,composer-2-fast,No,0,17278,6688,175,24141,Included
2026-04-01,Included,composer-2-fast,No,0,17278,6688,183,24149,Included
2026-04-01,"Aborted, Not Charged",composer-2-fast,No,0,0,0,0,0,0.00
2026-04-01,Included,composer-2-fast,No,0,23451,109088,7441,139980,Included
2026-04-01,Included,composer-2-fast,No,0,56350,115872,4130,176352,Included
2026-04-01,On-Demand,gpt-5.2-low-fast,No,0,137708,344320,4857,486885,0.74
2026-04-01,On-Demand,gpt-5.2-low-fast,No,0,58756,295296,6665,360717,0.50
2026-04-01,Included,composer-2-fast,No,0,58149,119232,8176,185557,Included
2026-04-01,"Errored, No Charge",gpt-5.3-codex,No,0,0,0,0,0,-
2026-04-01,Included,composer-2-fast,No,0,54864,152960,12840,220664,Included
2026-04-01,On-Demand,gpt-5.3-codex,No,0,52786,567936,906,621628,0.20
2026-04-01,On-Demand,gpt-5.3-codex,No,0,79539,1492096,1403,1573038,0.42
2026-04-01,On-Demand,gpt-5.3-codex,No,0,185436,2906624,7978,3100038,0.94
2026-04-01,On-Demand,claude-4.6-opus-high-thinking,No,30643,10,718446,3245,752344,0.63
2026-04-01,Included,composer-2-fast,No,0,19065,39264,7424,65753,Included
2026-04-01,On-Demand,claude-4.6-opus-high-thinking,No,162008,9,350479,9304,521800,1.42
2026-04-01,Included,composer-2-fast,No,0,56993,94944,3365,155302,Included
2026-04-01,On-Demand,claude-4.6-opus-high-thinking,No,1096,4,119399,1876,122375,0.11
2026-04-01,Included,composer-2-fast,No,0,30353,85152,7179,122684,Included
2026-04-01,On-Demand,claude-4.6-opus-high-thinking,No,37983,10,380529,6065,424587,0.58
2026-04-01,Included,composer-2-fast,No,0,60479,196384,3313,260176,Included
2026-04-01,Included,composer-2-fast,No,0,70745,227904,13718,312367,Included
2026-04-01,Included,composer-2-fast,No,0,26491,281088,12060,319639,Included
2026-04-01,Included,composer-2-fast,No,0,94131,387808,7985,489924,Included
2026-04-01,Included,composer-2-fast,No,0,36454,13376,2222,52052,Included
2026-04-01,On-Demand,claude-4.5-haiku-thinking,No,63436,39,221953,2535,287963,0.11
2026-04-01,"Errored, No Charge",composer-2-fast,No,0,0,0,0,0,-
2026-04-01,Included,composer-2-fast,No,0,87662,203616,6402,297680,Included
2026-04-01,On-Demand,claude-4.6-opus-high-thinking,No,4249,7,334903,2395,341554,0.25
2026-04-01,On-Demand,claude-4.6-opus-high-thinking,No,65027,19,869435,4197,938678,0.95
2026-04-01,Included,composer-2-fast,No,0,28167,190464,6667,225298,Included
2026-04-01,Included,composer-2-fast,No,0,55616,148768,4993,209377,Included
2026-04-01,Included,composer-2-fast,No,0,55874,113952,4741,174567,Included
2026-04-01,Included,composer-2-fast,No,0,37395,147392,5585,190372,Included
2026-04-01,Included,composer-2-fast,No,0,62527,191008,7609,261144,Included
2026-04-01,Included,composer-2-fast,No,0,80892,207488,6398,294778,Included
2026-04-01,Included,composer-2-fast,No,0,57308,88224,7427,152959,Included
2026-04-01,Included,composer-2-fast,No,0,44554,107264,3995,155813,Included
2026-04-01,Included,composer-2-fast,No,0,105508,369024,10017,484549,Included
2026-04-01,Included,composer-2-fast,No,0,51373,132608,7203,191184,Included
2026-04-01,Included,composer-2-fast,No,0,111354,56832,5978,174164,Included
2026-04-01,Included,composer-2-fast,No,0,61306,23808,1070,86184,Included
2026-04-01,Included,composer-2-fast,No,0,50169,89184,5621,144974,Included
2026-04-01,Included,composer-2-fast,No,0,78914,57184,5558,141656,Included
2026-04-01,Included,composer-2-fast,No,0,28148,81216,8092,117456,Included
2026-04-01,Included,composer-2-fast,No,0,59384,159136,10577,229097,Included
2026-04-01,Included,composer-2-fast,No,0,104034,241632,10868,356534,Included
2026-04-01,Included,composer-2-fast,No,0,65632,170624,8706,244962,Included
2026-04-01,Included,composer-2-fast,No,0,99993,207424,17050,324467,Included
2026-04-01,Included,composer-2-fast,No,0,63104,175648,9675,248427,Included
2026-04-01,Included,composer-2-fast,No,0,19895,88896,1816,110607,Included
2026-04-01,Included,composer-2-fast,No,0,33080,115488,8282,156850,Included
2026-04-01,Included,composer-2-fast,No,0,26039,162208,4914,193161,Included
2026-04-01,Included,composer-2-fast,No,0,25855,111392,5930,143177,Included
2026-04-01,On-Demand,claude-4.6-opus-high-thinking,No,45077,9,257528,2191,304805,0.47
2026-04-01,On-Demand,gpt-5.4-medium,No,0,25563,152576,2286,180425,0.14
2026-04-01,Included,composer-2-fast,No,0,42149,65856,1918,109923,Included
2026-04-01,Included,composer-2-fast,No,0,21581,92416,3758,117755,Included
2026-04-01,Included,composer-2-fast,No,0,41794,98848,2686,143328,Included
2026-04-01,Included,composer-2-fast,No,0,59631,152480,7260,219371,Included
